číselník,číselník_název_cs,číselník_název_en,položka,položka_kód,položka_název_cs,položka_název_en
https://data.mff.cuni.cz/zdroj/číselníky/mzdové-třídy,Mzdové třídy MFF UK,Salary tariffs FMP CUNI,https://data.mff.cuni.cz/zdroj/číselníky/mzdové-třídy/položky/AP1,AP1,AP1,AP1
https://data.mff.cuni.cz/zdroj/číselníky/mzdové-třídy,Mzdové třídy MFF UK,Salary tariffs FMP CUNI,https://data.mff.cuni.cz/zdroj/číselníky/mzdové-třídy/položky/AP2,AP2,AP2,AP2
https://data.mff.cuni.cz/zdroj/číselníky/mzdové-třídy,Mzdové třídy MFF UK,Salary tariffs FMP CUNI,https://data.mff.cuni.cz/zdroj/číselníky/mzdové-třídy/položky/AP3,AP3,AP3,AP3
https://data.mff.cuni.cz/zdroj/číselníky/mzdové-třídy,Mzdové třídy MFF UK,Salary tariffs FMP CUNI,https://data.mff.cuni.cz/zdroj/číselníky/mzdové-třídy/položky/AP4,AP4,AP4,AP4
https://data.mff.cuni.cz/zdroj/číselníky/mzdové-třídy,Mzdové třídy MFF UK,Salary tariffs FMP CUNI,https://data.mff.cuni.cz/zdroj/číselníky/mzdové-třídy/položky/L1,L1,L1,L1
https://data.mff.cuni.cz/zdroj/číselníky/mzdové-třídy,Mzdové třídy MFF UK,Salary tariffs FMP CUNI,https://data.mff.cuni.cz/zdroj/číselníky/mzdové-třídy/položky/L2,L2,L2,L2
https://data.mff.cuni.cz/zdroj/číselníky/mzdové-třídy,Mzdové třídy MFF UK,Salary tariffs FMP CUNI,https://data.mff.cuni.cz/zdroj/číselníky/mzdové-třídy/položky/VP1,VP1,VP1,VP1
https://data.mff.cuni.cz/zdroj/číselníky/mzdové-třídy,Mzdové třídy MFF UK,Salary tariffs FMP CUNI,https://data.mff.cuni.cz/zdroj/číselníky/mzdové-třídy/položky/VP2,VP2,VP2,VP2
https://data.mff.cuni.cz/zdroj/číselníky/mzdové-třídy,Mzdové třídy MFF UK,Salary tariffs FMP CUNI,https://data.mff.cuni.cz/zdroj/číselníky/mzdové-třídy/položky/VP3,VP3,VP3,VP3
https://data.mff.cuni.cz/zdroj/číselníky/mzdové-třídy,Mzdové třídy MFF UK,Salary tariffs FMP CUNI,https://data.mff.cuni.cz/zdroj/číselníky/mzdové-třídy/položky/1,1,1,1
https://data.mff.cuni.cz/zdroj/číselníky/mzdové-třídy,Mzdové třídy MFF UK,Salary tariffs FMP CUNI,https://data.mff.cuni.cz/zdroj/číselníky/mzdové-třídy/položky/2,2,2,2
https://data.mff.cuni.cz/zdroj/číselníky/mzdové-třídy,Mzdové třídy MFF UK,Salary tariffs FMP CUNI,https://data.mff.cuni.cz/zdroj/číselníky/mzdové-třídy/položky/3,3,3,3
https://data.mff.cuni.cz/zdroj/číselníky/mzdové-třídy,Mzdové třídy MFF UK,Salary tariffs FMP CUNI,https://data.mff.cuni.cz/zdroj/číselníky/mzdové-třídy/položky/4,4,4,4
https://data.mff.cuni.cz/zdroj/číselníky/mzdové-třídy,Mzdové třídy MFF UK,Salary tariffs FMP CUNI,https://data.mff.cuni.cz/zdroj/číselníky/mzdové-třídy/položky/5,5,5,5
https://data.mff.cuni.cz/zdroj/číselníky/mzdové-třídy,Mzdové třídy MFF UK,Salary tariffs FMP CUNI,https://data.mff.cuni.cz/zdroj/číselníky/mzdové-třídy/položky/6,6,6,6
https://data.mff.cuni.cz/zdroj/číselníky/mzdové-třídy,Mzdové třídy MFF UK,Salary tariffs FMP CUNI,https://data.mff.cuni.cz/zdroj/číselníky/mzdové-třídy/položky/7,7,7,7
https://data.mff.cuni.cz/zdroj/číselníky/mzdové-třídy,Mzdové třídy MFF UK,Salary tariffs FMP CUNI,https://data.mff.cuni.cz/zdroj/číselníky/mzdové-třídy/položky/8,8,8,8
